id,set_name,set_code,num_of_cards,tcg_date
2f13591f060a89f37c1cfb3fe7094a83,Yu-Gi-Oh! ARC-V Volume 2 promotional card,YA02,1,2017-09-05
34538103e7730ac64717363f9b2bd570,Legendary Duelists,LEDU,52,2017-09-07
9d706a93afc6b2f423dd324b7bc1d0ad,Yugi's Collector Box,YUCB,1,2017-09-15
ffcbf5db530ba2ee01d686fdf633ef3f,Code of the Duelist Special Edition,COTD,4,2017-09-21
47985f00967ea887b68a5e69052b13d1,Legendary Dragon Decks,LEDD,111,2017-10-05
1e03b5390834e017a2bb6b348e3d4d04,Circuit Break Sneak Peek Participation Card,CIBR,1,2017-10-14
d7eb2a048a8f32254a2b3ddaf21c72bd,Circuit Break,CIBR,100,2017-10-19
7e9e5c136166d23a23e1c96900d3758a,Weekly Shonen Jump November 2017 membership promotional card,JUMP,1,2017-11-01
efc8ecd2a880ccca6795b0ff61ce4fff,Structure Deck: Cyberse Link,SDCL,43,2017-11-02
3f1e25c9e1aec1fe713e8f6898c53292,Spirit Warriors,SPWA,60,2017-11-16
ca55ebe4359c83120488b28930174d42,Kaiba's Collector Box,KACB,1,2017-11-17
9a48aa1efd722e8f715835c014c1a81e,Circuit Break Special Edition,CIBR,4,2017-12-07
5571c332a81f5200c5f0d31f86ecc409,OTS Tournament Pack 6,OP06,26,2017-12-07
2eb4f72103060ff355dd37d61d658efe,WSJ Jump Pack Spring 2018 promotional card,JMPS,1,2018-01-01
03517fe815e3b9549b432df3a3e970ed,Weekly Shonen Jump January 2018 membership promotional card,JUMP,1,2018-01-01
a5cb34058439b78ec5e2ae12807af291,Advanced Demo Deck Extra Pack,DEM4,10,2018-01-06
3a75551b1de914d14a9ea965c13f1697,Structure Deck: Wave of Light,SR05,42,2018-01-18
13f90f2c013e59a4e548e71fef97238d,Extreme Force Sneak Peek Participation Card,EXFO,1,2018-01-27
d34642d654058d0cdefc4c4b4b0032bd,Extreme Force,EXFO,100,2018-02-01
066862a74a60bd9b9aeda739f6016bf5,The Lost Art Promotion A,LART,1,2018-02-01
b32d3069a055a23ea9aa0b03cdb8f04f,Legendary Duelists: Ancient Millennium,LED2,53,2018-02-22
f02912ffaa1267ed1ec89053943cf03c,The Lost Art Promotion B,LART,1,2018-03-01
f72d893b23f8003567f06ad9c6529d8b,Yu-Gi-Oh! ARC-V Volume 3 promotional card,YA03,1,2018-03-06
6797222ccdb85ffa58f027cf4a1d0ff0,Legendary Collection Kaiba,LC06,5,2018-03-08
48659eb849e8b4025ee34be85e570ba2,Legendary Collection Kaiba Mega Pack,LCKC,110,2018-03-08
db077a9d1a6bf8bf489d6b1ad8723de5,Extreme Force Special Edition,EXFO,4,2018-03-22
d3b3bf82306f521336836b7a68385fc8,Star Pack VRAINS,SP18,50,2018-03-29
8ef3a8319d4772ceb44b9e06268311db,Yugi & Kaiba Collector Box,KACB,1,2018-03-29
ff4184f09976c4dc7e40c97540b1b73f,The Lost Art Promotion C,LART,1,2018-04-01
ce1a91d0ff648eca31435ccb049e50b7,OTS Tournament Pack 7,OP07,26,2018-04-13
c9e2e81085f9d9106f5bb95f21ff5d37,OTS Tournament Pack 7 (POR),OP07,34,2018-04-13
df3bb7b5b104c5db82ad1409c647c43d,Structure Deck: Lair of Darkness,SR06,42,2018-04-19
ff4847c1e0c6010ef39e7249a8b43787,Flames of Destruction Sneak Peek Participation Card,FLOD,1,2018-04-28
a35dbb9846bf4767160bf2b6f12bcd9f,The Lost Art Promotion D,LART,1,2018-05-01
0e9a44609cb288651146fb49109bdc2b,Weekly Shonen Jump April 2018 membership promotional card,JUMP,1,2018-05-01
81f88961be95a117c2cbd29b83b7e696,Flames of Destruction,FLOD,100,2018-05-03
4e4b995c895c5b8d905e8dd025f10779,Dark Saviors,DASA,60,2018-05-24
e53c10b0cea2f697df74fcf4cba0118c,The Lost Art Promotion E,LART,1,2018-06-01
13b7f20a136d9768c897af30e2a3bf5b,Flames of Destruction Special Edition,FLOD,4,2018-06-07
697bc31656d1ae9ed3e9d11d9fc5a928,Battles of Legend: Relentless Revenge,BLRR,105,2018-06-28
bb8b33a95901826c86913775e017e067,The Lost Art Promotion F,LART,1,2018-07-01
a02521cf6f0f372c586257c56f45b170,Starter Deck: Codebreaker,YS18,45,2018-07-12
91dc8dc748dd70c374036c3f607b53bc,Cybernetic Horizon Sneak Peek Participation Card,CYHO,1,2018-07-21
4f01ece8166b338919a6203eb5dca93e,Cybernetic Horizon,CYHO,100,2018-07-26
6e2c68e121f3a1ec70599fd04b6ddbdc,Yu-Gi-Oh! World Championship 2018 prize cards,2018,2,2018-08-05
2238892a062c62d4750d5f2b63e839a3,Structure Deck: Powercode Link,SDPL,42,2018-08-09
bf695fe245c924858bd2dbe3b8043505,Weekly Shonen Jump July 2018 membership promotional card,JUMP,1,2018-08-12
ef3ad220efa405046c31095beed830c7,Shadows in Valhalla,SHVA,60,2018-08-16
a292d0dcf41c78ec0138f7166ecb3cce,OTS Tournament Pack 8,OP08,26,2018-08-17
d18070ca1640b784e459779147d675ad,OTS Tournament Pack 8 (POR),OP08,36,2018-08-17
b2da2930396a210c404f3a4e02ab7784,2018 Mega-Tin Mega Pack,MP18,233,2018-08-30
74fb9ab61bde6bc7126074c0fc8fc8f3,2018 Mega-Tins,CT15,10,2018-08-30
691e72e9481d6c1d31a70f18d5414521,WSJ Jump Pack Fall 2018 promotional card,JMPS,1,2018-09-01
68d1a2b11a48c2f3ed57895d8de0f79e,Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack Special Edition,MVP1,4,2018-09-07
f44a3d93407e627965a8e913bdb71023,Cybernetic Horizon Special Edition,CYHO,4,2018-09-13
